user_id,signup_date,campaign_source,device_type,country,ab_group
U00001,2025-06-13,Organic,desktop,Germany,B
U00002,2025-01-29,Email,desktop,India,A
U00003,2025-01-07,Referral,tablet,Germany,A
U00004,2025-03-12,Email,mobile,Germany,A
U00005,2025-03-04,Email,tablet,USA,A
U00006,2025-02-27,Meta,mobile,Canada,A
U00007,2025-02-05,Referral,mobile,Germany,A
U00008,2025-01-27,Referral,tablet,Germany,A
U00009,2025-06-23,Referral,mobile,UK,A
U00010,2025-05-20,Email,desktop,Canada,A
U00011,2025-01-23,Organic,desktop,Canada,A
U00012,2025-06-01,Referral,mobile,Canada,A
U00013,2025-04-19,Email,desktop,India,A
U00014,2025-01-09,Meta,tablet,USA,B
U00015,2025-01-08,Organic,desktop,USA,B
U00016,2025-01-24,Meta,mobile,UK,A
U00017,2025-02-25,Organic,tablet,Canada,A
U00018,2025-03-01,Email,desktop,Canada,B
U00019,2025-05-10,Google Ads,tablet,Germany,A
U00020,2025-06-04,Organic,mobile,India,A
U00021,2025-01-07,Meta,desktop,India,A
U00022,2025-05-24,Email,tablet,UK,B
U00023,2025-02-20,Organic,tablet,USA,A
U00024,2025-06-16,Google Ads,desktop,Canada,B
U00025,2025-06-29,Google Ads,tablet,UK,B
U00026,2025-05-20,Referral,tablet,India,A
U00027,2025-04-18,Referral,mobile,India,B
U00028,2025-02-26,Meta,mobile,India,B
U00029,2025-04-25,Organic,mobile,Canada,B
U00030,2025-05-31,Organic,mobile,Canada,A
U00031,2025-03-13,Referral,mobile,Canada,A
U00032,2025-01-02,Organic,mobile,Germany,B
U00033,2025-02-10,Organic,desktop,USA,A
U00034,2025-06-28,Google Ads,mobile,India,B
U00035,2025-04-19,Referral,tablet,India,A
U00036,2025-03-29,Email,desktop,Germany,A
U00037,2025-03-13,Referral,tablet,India,B
U00038,2025-02-09,Email,mobile,India,A
U00039,2025-02-25,Google Ads,mobile,Canada,B
U00040,2025-03-28,Meta,tablet,Canada,A
U00041,2025-01-27,Organic,tablet,USA,B
U00042,2025-01-24,Google Ads,tablet,India,A
U00043,2025-04-08,Organic,desktop,UK,B
U00044,2025-01-25,Meta,mobile,India,A
U00045,2025-04-02,Meta,tablet,India,A
U00046,2025-03-30,Google Ads,mobile,USA,B
U00047,2025-06-04,Meta,tablet,UK,A
U00048,2025-03-09,Email,mobile,India,B
U00049,2025-01-12,Meta,desktop,UK,A
U00050,2025-04-28,Organic,mobile,Canada,B
U00051,2025-05-18,Organic,tablet,Canada,B
U00052,2025-02-01,Organic,mobile,UK,B
U00053,2025-04-07,Organic,desktop,India,B
U00054,2025-01-21,Email,desktop,UK,B
U00055,2025-05-22,Referral,mobile,UK,B
U00056,2025-03-17,Google Ads,tablet,Canada,B
U00057,2025-06-10,Organic,desktop,UK,B
U00058,2025-06-08,Meta,desktop,Germany,A
U00059,2025-04-03,Organic,mobile,Germany,A
U00060,2025-05-28,Meta,desktop,Canada,A
U00061,2025-02-19,Meta,desktop,India,A
U00062,2025-06-30,Organic,tablet,India,B
U00063,2025-01-18,Email,tablet,Canada,B
U00064,2025-01-12,Meta,tablet,India,A
U00065,2025-06-19,Meta,mobile,USA,A
U00066,2025-02-28,Organic,desktop,Germany,B
U00067,2025-03-16,Meta,mobile,USA,A
U00068,2025-01-21,Meta,desktop,USA,B
U00069,2025-03-01,Organic,desktop,USA,A
U00070,2025-01-26,Organic,desktop,Canada,B
U00071,2025-04-08,Google Ads,tablet,USA,B
U00072,2025-03-13,Email,mobile,UK,A
U00073,2025-04-27,Email,mobile,India,A
U00074,2025-06-12,Meta,desktop,Canada,B
U00075,2025-04-04,Email,mobile,UK,A
U00076,2025-02-11,Meta,tablet,UK,A
U00077,2025-04-05,Google Ads,mobile,Germany,B
U00078,2025-04-01,Organic,desktop,Germany,A
U00079,2025-02-23,Organic,tablet,UK,A
U00080,2025-06-21,Organic,tablet,Germany,B
U00081,2025-03-10,Email,desktop,India,B
U00082,2025-06-29,Google Ads,mobile,India,B
U00083,2025-06-24,Email,desktop,Germany,A
U00084,2025-06-15,Email,mobile,USA,B
U00085,2025-01-19,Google Ads,mobile,UK,A
